Model_Percentile,AUC,LogLoss
AutoMLP_90,0.47065695865236246,5.297163029833606
AutoNHITS_90,0.4743540080684277,5.308607863923426
AutoLSTM_90,0.47741987161865806,5.300861394184739
AutoGRU_90,0.4773311421272353,5.3009421071316725
AutoMLP_95,0.4583601405788348,4.636955414481454
AutoNHITS_95,0.4620146270251503,4.651632305809723
AutoLSTM_95,0.4660270758433826,4.655458167299826
AutoGRU_95,0.4645991355267565,4.656446207092455
AutoMLP_99,0.45451966582982284,3.52309588589734
AutoNHITS_99,0.4581987317587221,3.544324195145717
AutoLSTM_99,0.46201932042818245,3.558228116185336
AutoGRU_99,0.4598964793197663,3.5592984522897817
