unique_id,SeasonalNaive,AutoMLP-median,AutoNHITS-median,AutoLSTM-median,AutoGRU-median
ID0,0.4744558634382614,0.4609163538123508,0.43100956317368183,0.3668477059611888,0.36825615674167733
ID1,0.03590244799397057,0.06404628848728618,0.06001308711979204,0.05799235923831838,0.04000407309800578
ID10,0.8988801030009053,0.9029099198336317,0.9040743282134888,0.9076507788846491,0.9043801160637863
ID100,0.4564381498954464,0.4688457608770322,0.4508959830595726,0.45563387226264335,0.457836042367278
ID101,0.06081721634451507,0.030441928826541842,0.040925970990294346,0.04432653931586592,0.03873087390239709
ID102,0.4290108811606718,0.4288033035357734,0.4272932082709487,0.4316585204746206,0.4392769774815637
ID103,0.961133406656072,0.9625341149292636,0.9638401338931546,0.964450628635483,0.9622195884292303
ID104,0.4272984710369401,0.4879721843659874,0.4127439629254867,0.44587346928985655,0.4875732713800045
ID105,0.19884410483223167,0.1610334650787666,0.1834815711259983,0.14651582929709842,0.16451368682428041
ID106,0.14673225912100743,0.15767229949426434,0.2251088627772477,0.12060920583510286,0.13157257236322065
ID107,0.40129713362780906,0.4401988831135457,0.43992076663707064,0.4350022110155121,0.448080391425492
ID108,0.43985772730510536,0.443613599076044,0.4390154949406668,0.4256997319483062,0.4409225239728318
ID109,0.5546792578026943,0.5646141108598633,0.5556895120518585,0.5516530080185776,0.5511703868796297
ID11,0.431775337803421,0.4635779787699085,0.4507680840489186,0.4391415366076797,0.43605750235948076
ID110,0.21587394660318704,0.22827372948105593,0.22361630767613785,0.22758818546838225,0.21938393722887062
ID111,0.2598552376266807,0.2220656914125548,0.236548369922015,0.29357459291035976,0.31236414787877875
ID112,0.9602029099717898,0.9613323998017771,0.9617756172432045,0.9623121565336864,0.9587600183149831
ID113,0.1686757780344037,0.04947539039106061,0.12412198236571469,0.031254423117669426,0.04299622780328554
ID114,0.8201694343889633,0.8090376210715263,0.8090798014260362,0.8071098857618951,0.8203195285769204
ID115,0.4487817743231457,0.5925358309182398,0.6150427185985129,0.5494200986080179,0.5066301088566244
ID116,0.9053473476104891,0.9131516442314611,0.9098930513291652,0.8987480370683687,0.8967931208770278
ID117,0.41374567392515793,0.3997958779634861,0.3945135913595934,0.39969986799757623,0.4097951966522803
ID118,0.6251782068129399,0.6282616955573586,0.6077685739744998,0.6168081580479525,0.6141045019457957
ID119,0.986922001618415,0.9872709793567703,0.9875135142190016,0.9876837143045885,0.9870813170121094
ID12,0.2326880668309529,0.2560107545903105,0.2415586612445999,0.23579547270214443,0.24928097552333472
ID120,0.6455740387330122,0.6641609522442852,0.6669400230868177,0.664555723066079,0.6607672092828215
ID121,0.5376648378313568,0.534189305596458,0.5148014696729674,0.5204331186097106,0.5350484237486764
ID122,0.26493971152807066,0.34332079710619756,0.34517829694535546,0.3680050701988998,0.3375738785281281
ID123,0.029263693645556744,0.02696031762459389,0.02727568391911926,0.03390883852948042,0.02675154131514423
ID124,0.66170883899867,0.6922154490840464,0.6786243630159129,0.686711216196077,0.6851775367651965
ID125,0.4815526247028332,0.5060035824703112,0.48233320916872763,0.49007303954087317,0.511487052640483
ID126,0.11446468293362633,0.17085710659629996,0.1532472868735897,0.17612184245120224,0.1476715438293019
ID127,0.4616747165312481,0.4638040913797301,0.4025745002306136,0.39810939434935655,0.37486605103679155
ID128,0.9645445941999103,0.9655276566983821,0.9628644596872479,0.9640275694027763,0.9648275537844803
ID129,0.8713707930517535,0.8768866049464727,0.878173259430025,0.8685601621335524,0.8754520739113696
ID13,0.043069421061118496,0.037649765401046746,0.025038852196303012,0.030156275634904403,0.024052473636760868
ID130,0.2844814570892073,0.3713310676640053,0.35091283450462324,0.38098466024436045,0.4122353285357963
ID131,0.8568530159364577,0.866604509567006,0.8685491827958455,0.8677201486014173,0.862676889605055
ID132,0.8104679471816078,0.8120532549775383,0.8108471459561164,0.8197251111236591,0.8102799391377719
