Model_Percentile,AUC,LogLoss
SeasonalNaive_90,1.0,2.2204460492503136e-16
AutoMLP_90,0.8956108559153736,0.27777225210501155
AutoNHITS_90,0.8883587177566944,0.2722663450525792
AutoLSTM_90,0.8718080419252412,0.29252350904240965
AutoGRU_90,0.8952796897583035,0.26279107778334676
AutoDeepAR_90,0.8777914200172038,0.2793696819174637
SeasonalNaive_95,1.0,2.2204460492503136e-16
AutoMLP_95,0.8871273363146429,0.21645523518943544
AutoNHITS_95,0.8679882918079513,0.21076407344366255
AutoLSTM_95,0.8568586498927057,0.22882376496734044
AutoGRU_95,0.8841527839205857,0.20311632405530008
AutoDeepAR_95,0.8661483160515668,0.21758504421885036
SeasonalNaive_99,1.0,2.2204460492503136e-16
AutoMLP_99,0.8617555037620652,0.12146246887427203
AutoNHITS_99,0.8563255263091226,0.1002161540313068
AutoLSTM_99,0.8410999290654372,0.11737225071120365
AutoGRU_99,0.8667806158640082,0.10545860786439458
AutoDeepAR_99,0.8488374965166063,0.11081251667380364
