Model_Percentile,AUC,LogLoss
AutoMLP_90,0.8914126713826201,0.4802303579754305
AutoNHITS_90,0.871086752240714,0.500888424312402
AutoLSTM_90,0.8663526725592237,0.49860352207805914
AutoGRU_90,0.8742266933151437,0.4858080512994703
AutoMLP_95,0.8761156363130047,0.43613395977273944
AutoNHITS_95,0.8288204170557112,0.4525962410163866
AutoLSTM_95,0.8482049691221518,0.4529824792804097
AutoGRU_95,0.8531108203515323,0.4387141407284015
AutoMLP_99,0.8486702936184227,0.3434906715792828
AutoNHITS_99,0.8032243558888355,0.35157845306526997
AutoLSTM_99,0.831649798596509,0.35696094049017224
AutoGRU_99,0.8347607858536215,0.34240937471755534
