Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.8166189742460929,0.5368684251778947
AutoMLP_90,0.7504797862368857,1.1353930396959175
AutoNHITS_90,0.887192376598595,0.4489161261726999
AutoLSTM_90,0.8581219341888328,0.4777185335894482
AutoGRU_90,0.8111036701540686,0.5398381847804747
AutoDeepAR_90,0.8394323557237465,0.5640730887723192
SeasonalNaive_95,0.7797613623325608,0.5730559833123574
AutoMLP_95,0.7340362754758812,1.270445647982399
AutoNHITS_95,0.8793889983294334,0.4694141513260929
AutoLSTM_95,0.8456934031970758,0.4996534817407955
AutoGRU_95,0.8049029479631764,0.5512050067371566
AutoDeepAR_95,0.8334662646845749,0.5644686834413615
SeasonalNaive_99,0.7316107994641533,0.603857252985896
AutoMLP_99,0.7055171279573237,1.3945949736549372
AutoNHITS_99,0.8486040475563955,0.5145338449430392
AutoLSTM_99,0.8170953639690931,0.5376318532387874
AutoGRU_99,0.7793837164796785,0.5742413929250952
AutoDeepAR_99,0.8051801904169559,0.6124510243707044
