Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.9009144228455324,0.39151431306520024
AutoMLP_90,0.9511676047432919,0.2652161800002317
AutoNHITS_90,0.9357411751449781,0.3015749941580648
AutoLSTM_90,0.9406322346096078,0.2916430646548274
AutoGRU_90,0.9400988852576464,0.3180384803116033
AutoDeepAR_90,0.9214550864057758,0.35228708092137373
SeasonalNaive_95,0.8953460532734717,0.38715870606857117
AutoMLP_95,0.9521445770884872,0.25124846354678104
AutoNHITS_95,0.9360832009509873,0.2880540459054633
AutoLSTM_95,0.9431756562130635,0.2714835714818373
AutoGRU_95,0.9430231051863017,0.2995735083886844
AutoDeepAR_95,0.9199096280678729,0.35692629019311467
SeasonalNaive_99,0.8850582057866999,0.35848429881166516
AutoMLP_99,0.9507255824987464,0.22572111296791028
AutoNHITS_99,0.9346234753353552,0.2552659284537878
AutoLSTM_99,0.9426606879806827,0.240461900095506
AutoGRU_99,0.9429459715895915,0.2612453060675204
AutoDeepAR_99,0.9141136444976762,0.374862085719076
