unique_id,SeasonalNaive,AutoMLP,AutoNHITS,AutoLSTM,AutoGRU,AutoDeepAR
M80,0.05323070212018697,0.04389453583466485,0.04657377028350388,0.047010799186276125,0.05675191348838717,0.04831786103918464
M800,0.061898981304709715,0.07126640407901678,0.07652488545168255,0.08564455099370927,0.0759639512184357,0.07297051170890903
M801,0.03894245075204957,0.017793125795956297,0.047501650457231336,0.041618557928081855,0.06766313020163336,0.05257673754734815
M802,0.024455850063061734,0.03170509355575419,0.06809107875834516,0.05056066807254914,0.06925673822463048,0.05825992119408611
M803,0.048217511357157176,0.05771885567219221,0.04198182893801385,0.04007418871090509,0.06679403698076847,0.0379289757639874
M804,0.027675347048621967,0.03105629981573503,0.03987258637814969,0.04058626910871959,0.04715113868422385,0.04135094646294786
M805,0.03785852930927581,0.031638197374033755,0.04561913397276877,0.04842798789884703,0.05788495351128529,0.04927776915443899
M806,0.0924110667985701,0.15255360326204961,0.09891803291506891,0.10775109792270758,0.1471548209557284,0.11951050416084243
M807,0.03912521061842505,0.02321682599408285,0.054014409469044684,0.04257753129606514,0.07455670529523746,0.050021446456769064
M808,0.02721317015257692,0.02654036710910968,0.02992889392036319,0.02681660217516431,0.025058014599142305,0.028583711796794295
M809,0.02437703696628706,0.00875756154649958,0.0071615910801296,0.012970898415538848,0.012319789161417133,0.002277542258688641
M81,0.06530024297678279,0.06835479325996512,0.06343045570695938,0.07865709006812652,0.06851267854102357,0.051372860274447936
M810,0.0239455272553645,0.011826478081967599,0.010764000061032807,0.018090210882423418,0.023048768746697756,0.012005530171185684
M811,0.015606536757901223,0.010086167802416614,0.01088705183431469,0.011590877475031071,0.020779268939571806,0.010334494119135954
M812,0.014597044995289148,0.008460125404259512,0.007457514471245792,0.011990368293528576,0.024683437920202486,0.020334491295039236
M813,0.042962874295061924,0.007803732227326304,0.009586037682499075,0.01100585440690714,0.015793898398605576,0.02666591108823245
M814,0.14307544507367462,0.14330616938065607,0.14171352541048202,0.16797393658775195,0.17258657969538985,0.16879821737498868
