unique_id,SeasonalNaive,AutoMLP-median,AutoNHITS-median,AutoLSTM-median,AutoGRU-median
M1,0.44025512504527736,0.29328518196672043,0.33317195527544147,0.29709646645638293,0.2919772235735395
M10,0.12296415741414464,0.1347881460994257,0.1584851958336473,0.10278067036072092,0.09349336473196468
M100,0.04707188820990483,0.055853865980251514,0.0521500521864639,0.06458107086557792,0.04382063925265687
M1000,0.012316938669575011,0.0025673830984734077,0.006333076225272835,0.0025935103251821705,0.002493288311728387
M1001,0.01315519907091177,0.006703732440741561,0.00738912689841304,0.005620793467626125,0.004067220842019786
M1002,0.03737527952986226,0.014613795663682774,0.010809442154510419,0.019606261116926104,0.021599862317253
M1003,0.00940410809745434,0.008551270791304218,0.007855248463000834,0.006268510297786141,0.005113647861913464
M1004,0.0060152561502371865,0.010215273250217614,0.005630103055211655,0.004023467080053929,0.006484639222716215
M1005,0.02008030938562923,0.016605268379947167,0.014465646361237936,0.013058339160665665,0.01667268339131607
M1006,0.005764779966245698,0.0032408605971253487,0.0023688808813396656,0.0028814159531278115,0.0032945479721909095
M1007,0.020198981756898198,0.027176253579784194,0.024943080462807726,0.021898489973471925,0.02289048874962511
M1008,0.007698440450993527,0.004053952083010287,0.002783014552489532,0.005620550519487132,0.002894310116673566
M1009,0.0634524265885026,0.024625322071676545,0.016862015951998755,0.010133186535977655,0.016264121807452136
M101,0.018706535681612242,0.03327698626382594,0.017346273931718552,0.03542989439478374,0.035287167714364534
M1010,0.02689645699585054,0.023043097404715024,0.010355858655262624,0.031817786534185016,0.024361009604513286
M1011,0.041486833324643486,0.03602982747839811,0.018898679918671685,0.05299282937613383,0.044986661406714507
M1012,0.011223784614710968,0.012637413890501999,0.007690404115073897,0.018703843888169494,0.014668462981478031
M1013,0.02643940276817364,0.010001130158893918,0.01695088584656791,0.012126155495105512,0.007975799879503476
M1014,0.040005497590413566,0.015032053727735825,0.02508595561104426,0.023636547780204364,0.016992056606513647
M1015,0.02337676701150263,0.03042627840957737,0.05772484417084144,0.033977420085515436,0.027329600991539943
M1016,0.04542991669985641,0.047976969886643676,0.11035433859894277,0.027086019371985837,0.021891836964903252
M1017,0.033383525753642306,0.028447611609889577,0.031963800537709704,0.04568202661216265,0.03717050453117025
M1018,0.024261100604742427,0.00816917694594909,0.009710573778020988,0.01737508368669648,0.01501785982656146
M1019,0.07274177935291672,0.024174646298362624,0.014197921080792623,0.036482933911670866,0.030162208269809084
