unique_id,SeasonalNaive,AutoMLP-median,AutoNHITS-median,AutoLSTM-median,AutoGRU-median
m44,0.5013040508894174,0.5359209275285849,0.5101023652691888,0.5514989242088753,0.5469430443516133
m45,0.9636460260592675,0.9634949424604713,0.9633379878549492,0.9641071830807246,0.9695540683497942
m46,0.9735273324057853,0.9763353361611978,0.9750282929552014,0.968012624424429,0.9749468837632579
m47,0.520530543973709,0.5356475678289299,0.5599318902797407,0.601314013838636,0.5942472086861871
m48,0.7117162560090309,0.7332813213577069,0.7296980100487963,0.7395738297428466,0.7407422825859665
m49,0.6869741675240757,0.7019882542037114,0.6943234158924293,0.6982407054742109,0.6950859622856745
m5,0.9820903246739731,0.9840128605318753,0.9834786599224289,0.9840256184578444,0.9851879724771967
m50,0.9670419663613372,0.9690684544824277,0.9686285097409848,0.9675800072709926,0.9692743607534723
m51,0.32074146030338274,0.32803445378291934,0.33982911524883835,0.32637246614123555,0.3342631433254449
m52,0.9346798422421205,0.9360919492852701,0.9353624245783684,0.9326828567573869,0.9366914630519533
m53,0.9389439220396626,0.9430499449191617,0.943967047353464,0.9406879982451076,0.9408626827452827
m54,0.9988504274774691,0.9988450157333225,0.9988617488595596,0.9988761079521749,0.9989195853485953
m55,0.9711773286266338,0.9730347123377907,0.9733320865527983,0.9734090413359221,0.9738059386409582
m56,0.34966731542345625,0.3886039082741319,0.371569003321298,0.3765209053674689,0.36768211854262217
m57,0.390170468863064,0.3676297916736413,0.36382181386157714,0.3673658961134265,0.36282067512078137
m58,0.27801231250307284,0.2961577669603147,0.2860783451153242,0.3095095928680517,0.31929343749115074
m59,0.4435191789710631,0.4671455563503959,0.4430014417197153,0.4604097752867264,0.4671886686899325
m6,0.9238953567120362,0.930839457384817,0.9285736775463014,0.9293854683381148,0.931150973012764
m60,0.8048132943135161,0.8008681859858998,0.8006907304791486,0.7984787243794894,0.7949224960492804
m61,0.9124068810933511,0.905448449050858,0.9126657149340692,0.9032772793544024,0.9017080999468515
m62,0.8154974002483307,0.7973416318756144,0.8114913343438636,0.8009711860094076,0.8048657337602054
m63,0.16062272434072564,0.13185894620789373,0.1378173132521947,0.13243630973401824,0.13192630845490957
m64,0.16290711659467377,0.1626251043211127,0.16001817381775452,0.14730631671133393,0.15403058155666302
m65,0.8089329358723143,0.7966887010835485,0.7935228555161228,0.7758113097420227,0.7778741163379022
m66,0.8998451927676802,0.9047726932101536,0.9065301361511952,0.9112468903834611,0.9067870494165607
m67,0.4521390982239923,0.4794180295906651,0.4714416908747015,0.46454140985871,0.4815972771609447
m68,0.9879015490872587,0.9892387277053993,0.9890474733784714,0.9882785399462549,0.9887086831500423
m69,0.8449275033191661,0.8528874580690551,0.8599829692559037,0.8480059396066643,0.851964741613095
m7,0.8122593352764912,0.8321065100953962,0.8274803727397092,0.8324758283563267,0.8278050141509713
m70,0.4638382777816588,0.47293781440614424,0.47358817976930134,0.4703098374412072,0.48204988175941654
m71,0.2925026427425671,0.31959993916235263,0.3243435793480348,0.3127118414057538,0.32526976512509004
m72,0.9885911508914663,0.9890135999384483,0.9890662364132563,0.9892211380486516,0.9893870125421168
m73,0.786524700889181,0.7980242466891484,0.7926348196631912,0.8117444258934023,0.813875114160298
m74,0.38891506838779355,0.3770126378833388,0.3829873921168206,0.38048306377986757,0.3592064986877554
m75,0.14530890746143008,0.15348998279173373,0.163697153839475,0.16400437361338596,0.16102651405707213
m76,0.34385936573134007,0.38160680506673034,0.3711912582493095,0.41141045309291147,0.42749649132739487
m77,0.4135462853555527,0.42268572768461604,0.43641572872585804,0.4520888082004834,0.45504503205385843
m78,0.32462006683790073,0.3033330925147095,0.31536593040930466,0.3002193983214069,0.28039971163573296
m79,0.8593276980495569,0.8524294510370977,0.8642167973681354,0.8462857960212206,0.8418967913309346
m8,0.9098804438770173,0.9130053218561249,0.9137721115255938,0.909273450884236,0.9118199734039479
m80,0.6865324704173358,0.6778578144889756,0.6723509818856989,0.6675789347827276,0.6695948749541052
m81,0.12875203814076588,0.10774508690661494,0.10917530019248049,0.12542898730075222,0.1209987934000603
m82,0.20520614893670222,0.20554003282859437,0.243460499106851,0.22272534223980725,0.2870072023398023
m83,0.6904377756627261,0.6607793372337848,0.66989897646088,0.6608921048768234,0.6431464012751119
m84,0.8415630310914533,0.8303374929022671,0.8369351970082256,0.8329922989051671,0.8305143458170768
m85,0.9593453013703402,0.9544667654231627,0.9543082373516855,0.9573090192077157,0.9550608990065313
m86,0.67832230794588,0.6619868011444634,0.6465341262003154,0.6788536904367858,0.6670777238760541
m87,0.8499308215725482,0.8408846718458616,0.8355481133757986,0.8491715897828054,0.8401855656795592
m88,0.9541173680951239,0.9525454085910506,0.9531147591485546,0.9539726407346363,0.9516032699766592
m89,0.8016298353282801,0.7903866744906701,0.792920096042886,0.7913597547595939,0.7870348406918585
m9,0.36087491299536784,0.3685706314952975,0.3694997838280991,0.36005452102845514,0.35845221806322486
m90,0.567445518451328,0.5576555075745867,0.5622953469121473,0.5511220695998706,0.5584108075527004
m91,0.26540920812363494,0.2543404368819226,0.25928073801922996,0.24939870980592926,0.2485405269121905
m92,0.7496404262820295,0.7350549597166723,0.7362117756661863,0.7259010686744278,0.7313147449379267
m93,0.6865903570031747,0.7095016626389784,0.6976823141619302,0.7174340060844804,0.715008465161911
m94,0.7330893659280977,0.7002448747747666,0.7024995493015359,0.6927133608940781,0.6915542494888554
m95,0.6965347623380563,0.7182916488915669,0.7090174715942436,0.706781132840733,0.7061758717859115
m96,0.7187563009076413,0.7144603389256674,0.7064180980978717,0.7265617427881677,0.72151691580977
m97,0.7383823619995646,0.6751648554581969,0.7117549673440798,0.702822480907928,0.7043031549665387
m98,0.799619953707904,0.7720416460733618,0.7804645707551644,0.767747882237844,0.7743295553608135
m99,0.2832678975866323,0.2767676859241401,0.27186855662371384,0.2835013577058654,0.25999608039691674
