unique_id,AutoMLP-median,AutoNHITS-median,AutoLSTM-median,AutoGRU-median,SeasonalNaive
M339,0.07615723469957396,0.07281847372707145,0.07788354478000033,0.07662919337266856,0.14640921780541294
M34,0.1124133737976079,0.17104687584831843,0.12892402676986434,0.1233137264541956,0.145115499097822
M340,0.12471602561967665,0.17684696819120171,0.1569589886638844,0.14940750209404188,0.2080833325377467
M341,0.12060838279583753,0.07466592751096877,0.08694939480820892,0.08164929502164503,0.16836510722097794
M342,0.07500389926471493,0.1175191325720036,0.07931933600003713,0.07676853849579533,0.11413057829949014
M343,0.13765513757039205,0.16222230431073917,0.1172590165554358,0.11335594005129958,0.13504308321337108
M344,0.14505755270976115,0.13929665203160416,0.0946695712938529,0.08901061916718117,0.18033341464031896
M345,0.11623063910172222,0.17367241984065582,0.10596781507336121,0.0994325046617257,0.1419231253938755
M346,0.23676842786015898,0.12705746785479946,0.17019969386705314,0.16225938497536202,0.16532015206886003
M347,0.13002985226806016,0.17839224362002684,0.07286694532662781,0.07625411240818526,0.13374513838248092
M348,0.08730578399468593,0.09552864445475649,0.0771338417229725,0.07465675705414113,0.11932231805793841
M349,0.0515448022111844,0.045198223983472306,0.031045488731485035,0.03600531818006172,0.0654423890309662
M35,0.16691050893497383,0.14731241508125936,0.12950318804537217,0.13670679589724644,0.18345783760664258
M350,0.09149199877635378,0.08741017533407647,0.055335539287341716,0.06086415712335075,0.08608348027882107
M351,0.07199037380078362,0.07408744581241908,0.06785416431564133,0.0762868190534684,0.09449934014287519
M352,0.10680729082434554,0.07409155868119528,0.07714352334975402,0.08484342485363487,0.07884606695295124
M353,0.02757687247035077,0.0579434566561515,0.02694052476490852,0.02642833451259105,0.04622570653406447
M354,0.04422927777556385,0.06184812799002686,0.03556688316091051,0.03804941911859071,0.07657788809757655
M355,0.034960551595729736,0.028227218042343512,0.0364755980296484,0.034546588809503405,0.06454888755623701
M356,0.059060590155273957,0.055070351748123934,0.04803018299013361,0.04776754619961023,0.12167904788714272
M357,0.046621803395562655,0.06853115800092828,0.045864320950881256,0.04379833986897388,0.070331919456245
M358,0.06198778101928945,0.0719759572952449,0.02518329552255301,0.025231346028248003,0.04060896849855233
M359,0.025464978072422328,0.02235967664017159,0.010521567589571951,0.01075999972397919,0.015098450091835516
M36,0.1183601601611833,0.11391462840802542,0.1342371821777553,0.1339468148437025,0.11624870327136409
M360,0.06445304800534259,0.10845811815973651,0.04658989650185923,0.04781901425806064,0.0716096766472969
M361,0.05447248601110983,0.04906243349046208,0.045096960982839884,0.04286584080443701,0.08466155283618614
M362,0.023829942373824825,0.03368174930109491,0.010047502165640414,0.01011790181991859,0.01826050644490426
M363,0.04772194112171128,0.0675510928287276,0.030548416383996222,0.03004658836186946,0.047260842443915096
M364,0.08146462907959746,0.09083088220616754,0.03958223399790551,0.03535325304959116,0.07988911166990706
M365,0.052315681977595264,0.07098991525648879,0.051989383995419886,0.04985688328766392,0.06997520226782179
M366,0.04846528067652487,0.03983459622056935,0.032111241465738224,0.032493208771097445,0.06060239923593686
M367,0.04192816751052036,0.050181465114882556,0.03544401111629467,0.03326518241997437,0.0686405659809151
M368,0.023662697674408376,0.021100723453322003,0.012871548292227843,0.013138080966722322,0.014878318872182444
M369,0.020125114192699998,0.02726222364053656,0.022406758480213142,0.02439858430491122,0.043872937346536516
M37,0.08619737294318093,0.10498318817713159,0.10118420828851639,0.10862743382213852,0.1303073059159044
M370,0.01542091661794371,0.01257917851440043,0.00948651800603092,0.00967915526759961,0.028032963520452592
M371,0.011477475534279594,0.0194177879462265,0.010772908757784324,0.010975000016340051,0.01413561144417487
M372,0.025024800722192722,0.03418453061235807,0.015462304815752845,0.016358993532533936,0.02311703701188905
M373,0.015747381255835937,0.019227248872510757,0.009043744305707641,0.008955399026753352,0.014888640225097843
M374,0.02957942386762667,0.02376861485342889,0.023148277641010368,0.020285285197490528,0.026934015951734808
M375,0.011297233784302444,0.014916579680430184,0.010642406843923405,0.010360050374489282,0.012691181217895172
M376,0.018717431372394556,0.017100617073500555,0.01694192320744955,0.017502432493778867,0.02211955689905183
M377,0.01978444497584834,0.037353312089371205,0.01491682331106046,0.01592548536097919,0.023365777108600466
M378,0.1805346555045998,0.1201046946372316,0.09568239145021058,0.12027528215574103,0.14412352101302395
M379,0.191470111914507,0.1490001062498783,0.1341892106396473,0.12758483044743085,0.20358805901717414
M38,0.08769350452108898,0.14524440711089773,0.11493704662998498,0.11056588680527508,0.2830913805238038
M380,0.23877991581334704,0.28865828535616084,0.27494575258976883,0.26838445806488404,0.29842543838964825
M381,0.14361863642124215,0.11410631601526681,0.08020997780608151,0.0786351400917568,0.17246385994561822
M382,0.12945925884749274,0.15217364472895498,0.08211467395563628,0.08093251381003087,0.15655339458657483
M383,0.14724730854824492,0.1398486533563173,0.10318421363351567,0.10279881630738362,0.18233157471740444
M384,0.257165697285978,0.18942878472847033,0.1611273376712383,0.1478454248774726,0.2617366023120225
M385,0.1473959070122998,0.18181813397677118,0.08953920450887254,0.0852632417916858,0.19207721544643805
M386,0.1315047518240864,0.10779773059147996,0.1079199794750762,0.10658761237037985,0.14171309431118584
M387,0.17836256839515038,0.13802990326084927,0.1387942038118035,0.13223671947406235,0.16564291562152286
M388,0.18018887540746567,0.13240582145331473,0.11338092389427218,0.1059872401574699,0.1563948891566335
M389,0.08786251197270507,0.10188059960037373,0.09944673123238913,0.09361133348096984,0.15523965238443702
M39,0.042588787282673186,0.04900122972186411,0.05574483942622096,0.05349108048036741,0.1105665827002531
M390,0.09287091702706916,0.11633310068488055,0.09723557829982259,0.0965666048290237,0.1771468323615879
M391,0.07837404842428099,0.092498416512879,0.08606957313249115,0.08734170168114547,0.11033029233363821
M392,0.09762605016428037,0.11788265832356593,0.10533506933904603,0.11169470184291715,0.1223796318817587
M393,0.05083139094163486,0.04914127990891636,0.05570093347737165,0.05238973845582336,0.12473922393170132
M394,0.06753216989118005,0.07593733267642695,0.08459734283183555,0.08338523337263104,0.14371994086333748
M395,0.10280647917236613,0.13063097495361203,0.11653111997659603,0.11729690235532962,0.15027989007713163
M396,0.07932072626992707,0.10469772339637877,0.0967177598524089,0.09684671701700269,0.17249253701824352
M397,0.07917374104924631,0.09479078628733169,0.052829183197354135,0.05508633369758729,0.14273346272982365
M398,0.09250079536643145,0.10348194257825372,0.10118335861490824,0.0994141793478839,0.17597269221166398
M399,0.08425155603611777,0.10275086464210248,0.09399733738493389,0.09892263281154018,0.18611810909388546
M4,0.16153960594918898,0.2584585835449395,0.12977293857166217,0.12238884321150328,0.24286395034390126
M40,0.11526728950552935,0.10005510469621164,0.1213586861714544,0.11465067639320019,0.18011176824290773
M400,0.07029232094111151,0.0914979230801114,0.08458152938054704,0.0865098477838716,0.16198599931281418
M401,0.1849943670424269,0.11150701627597975,0.11953916147540433,0.1274712313165162,0.20885293745597988
M402,0.3020853578855431,0.16110526053958027,0.1256480342292953,0.19160030781559903,0.20693822028406086
M403,0.05244638172559126,0.0629798872247616,0.06569898978741555,0.061246065690291285,0.07928649675108547
M404,0.08316529557199516,0.1215203770590113,0.10952514881051668,0.10946162405927873,0.10247719592493161
M405,0.12121768991131916,0.1437987156719638,0.10033379029361589,0.10180692520473718,0.18010418604342474
M406,0.05115173066030219,0.10708890222318491,0.049904512181630674,0.05018892492926558,0.05464853736776073
M407,0.015420287874513107,0.015501201848558554,0.009252408563747467,0.008994643608223473,0.015401429258983398
M408,0.029502496266602868,0.028649704826571334,0.031526619786857904,0.030806533739709336,0.04203247764176265
M409,0.05401689675175576,0.05136297893981854,0.022398677255209793,0.022198527756633238,0.033009639887844104
M41,0.07302063245299688,0.08103536947528395,0.08996392823211247,0.08778875451607442,0.09040654766700988
M410,0.01148165116333894,0.011272362398115382,0.010821740478775361,0.010476283165674944,0.016895962383164074
M411,0.08238918009038726,0.12603642857982883,0.0642181052284477,0.06254573104166249,0.0626189592232306
M412,0.031035413451367108,0.04320789972124112,0.043561603871262504,0.04306559452823311,0.05372418522962303
M413,0.03601169715082151,0.030368980971816978,0.02966598279369538,0.02734023643233514,0.02864461555626216
M414,0.01313858943092526,0.013336925734418652,0.01325877882650684,0.013421980047601251,0.03521493486491012
M415,0.032364776036489816,0.06341051709681159,0.03308269343051936,0.032218256059880455,0.047191472841874964
M416,0.05368569342892568,0.034282682947377525,0.040005668696030956,0.04008657538740395,0.08585097846390333
M417,0.03174877615830105,0.042030456912386355,0.0283644853571277,0.028890145383561928,0.029377372370532923
M418,0.01101769633203587,0.0226951335612138,0.00854791234971494,0.008102927775291837,0.016891093668697114
M419,0.06555472079476897,0.12765271624653513,0.09365969044390765,0.08967356148989414,0.14706702341921296
M42,0.08695833756821068,0.10992401443324906,0.11153956240974805,0.11118697410028439,0.19621553058082597
M420,0.017644705555438237,0.02057770557687157,0.018873501318221925,0.01982750003685695,0.033467557928598644
M421,0.04627207457503709,0.07399324410033177,0.03137712045075381,0.031223526756049846,0.05199742126177997
M422,0.039812514025563524,0.06668452006373576,0.03554532775629966,0.03779290149959567,0.07633461456072736
M423,0.008820245995435724,0.009997814797776837,0.010146148032743477,0.010322930625227536,0.018807699043927983
M424,0.038209486863856924,0.04763394598663246,0.03894784866475261,0.03699503856797564,0.04497480844268817
M425,0.026723259272567346,0.023624275875314626,0.020955990254810212,0.02104881716908777,0.03784929053350316
M426,0.0378175005408773,0.034645623100299505,0.03950614111500181,0.0376347366593521,0.040225698532645494
M427,0.04978819323567207,0.054465257194380536,0.05943194024914855,0.05327235747622606,0.10633678510411172
M428,0.1802989984965819,0.15526087797368826,0.1565640026891774,0.138933132930466,0.16442632949075695
M429,0.19475045753313888,0.143714376630051,0.1342500863754045,0.15779127840364948,0.2405780878185079
M43,0.11729065525636491,0.13180256918514877,0.14800867474099685,0.14131270210539856,0.23061015026118128
M430,0.08839483804566245,0.15905702606893968,0.06082726238363841,0.061684807456391995,0.14922438197273322
M431,0.07006755486435817,0.07455617685451964,0.06674983296776298,0.0701851826134051,0.11346874506514036
M432,0.08330475603380388,0.15276233133779835,0.12296070895329397,0.12644480483611403,0.20864789182591026
