Model,AUC,LogLoss
AutoMLP,0.7313477944126529,6.086493926251897
AutoNHITS,0.7055127975015743,6.2841893060264935
AutoLSTM,0.9083765437162242,2.767735316844332
AutoGRU,0.9078303988579924,2.7761478861964437
SeasonalNaive,0.6800059138902922,7.236912785153
