Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.4749842470069313,14.74511264562362
AutoMLP_90,0.4804364408184923,15.07858532293
AutoNHITS_90,0.4772228867623604,15.586803201339633
AutoLSTM_90,0.48405797101449277,14.391300082652055
AutoGRU_90,0.4810532948628661,15.041528181586834
SeasonalNaive_95,0.4821582300275482,14.189636469484157
AutoMLP_95,0.48307445395513576,14.43651504023459
AutoNHITS_95,0.4848423356946084,15.17296897302185
AutoLSTM_95,0.49127742522628887,13.644636542775562
AutoGRU_95,0.48213670798898073,14.313181506914582
SeasonalNaive_99,0.4683673345917429,14.139421047359356
AutoMLP_99,0.4747350079860607,13.486257444973125
AutoNHITS_99,0.46947751802913706,14.748980554342378
AutoLSTM_99,0.47257514157107594,12.616459537906419
AutoGRU_99,0.4677169546488554,12.918726047585187
