unique_id,SeasonalNaive,AutoMLP,AutoNHITS,AutoLSTM,AutoGRU,AutoDeepAR
m1,0.04754648296887043,0.02844643199779785,0.04328608430072336,0.059906666743680136,0.045442557480285965,0.07251604164413354
m10,0.6046735074968571,0.5669141699891403,0.5869846402847353,0.6116253661761095,0.5783831997791694,0.6190927297420818
m100,0.9009612413360507,0.8810741378493129,0.9068401430656229,0.90711817622886,0.9041579509413947,0.8761997160930252
m101,0.7660046103299627,0.7355060790488142,0.7636020005290877,0.7535915761162765,0.7450285972202844,0.7462367445290462
m102,0.800955551907323,0.7762948395864643,0.8009732691508823,0.8041695196212357,0.7877678687566488,0.7275240073794208
m103,0.9554410310738187,0.9484902166996542,0.9560947342747131,0.959180806799576,0.953725708306882,0.9487521064008412
m104,0.6933462916056922,0.6380218712286,0.6678092441541836,0.6893825326398609,0.6826877456067034,0.6380349337365089
m105,0.9767297923688726,0.9728793856255807,0.9765399504110525,0.9782564959849167,0.9763387766932232,0.9730206866773387
m106,0.8600999480629284,0.8409167428034987,0.8528788625772687,0.8534470345636312,0.858575950053709,0.841330907889883
m107,0.7363801870111409,0.713453340361653,0.7249286662950226,0.7361220409682859,0.7254544036049039,0.7119488023633195
m108,0.18599993242244153,0.20674474507511886,0.19274147304405279,0.18573341245063182,0.18117602214255205,0.18490438536241469
m109,0.9548744473060822,0.9527006460775366,0.9560283911878878,0.9584598046355826,0.9565984502529764,0.9501478388193713
m11,0.5837164770867987,0.5538700616596222,0.5951645570113326,0.5969348579975279,0.5742617467136105,0.5509547586548234
m110,0.9705464241334192,0.9694528651134048,0.9711611563992074,0.9696027755101624,0.9700084782402021,0.9709360483673887
m111,0.8514629186876678,0.8360199719764528,0.8519186252682259,0.8572922822793713,0.8537569588998178,0.8433356817681492
m112,0.8608995734847323,0.8481897642113195,0.854026181286322,0.8516705824646397,0.8506056656552786,0.8519947788133857
m113,0.7085725096930249,0.7187589564710698,0.7039822976469812,0.7006102787910059,0.7124421415582964,0.7386348300529187
m114,0.4149118503646652,0.3718176723809213,0.3651270309809879,0.3702477727986359,0.3673442741698169,0.36551449968082195
m115,0.9235305199165379,0.9156465743611597,0.9203045547108458,0.9225564528124401,0.9192733492741755,0.9194182377904615
m116,0.9395175992446201,0.9297375774379639,0.9430022660967999,0.9369826575317516,0.938648568512745,0.9305894594890352
m117,0.8748811409280045,0.8530775065244894,0.8781742564330695,0.878700849927533,0.8751100924746128,0.8485275290544895
m118,0.7395240593795527,0.7246953902889698,0.7293322323002549,0.7405796153733336,0.7312692587872945,0.739620624228996
m119,0.8374063804050653,0.832676315222756,0.8353888741626702,0.8471025386066863,0.8394703610852412,0.8328859341222173
m12,0.623669976700652,0.6722038981625237,0.6264004646919583,0.6213122262561794,0.6469889714087677,0.6459922695210712
m120,0.8551950186766667,0.860233582587527,0.8539723706117476,0.8508159376979214,0.8578080606077996,0.8680916148610548
m121,0.690845818210663,0.6798559846683311,0.7021969561335265,0.7141069369166907,0.6996044511464358,0.6739898878813805
m122,0.570188670128804,0.5468074139008828,0.5671238359153709,0.615769943247613,0.5826149938976876,0.5427081664537267
m123,0.6630478865668357,0.6026119602795169,0.6704431476473723,0.6898395257811112,0.6668367330313272,0.596093452410653
m124,0.727436989683827,0.7142806410689196,0.7239419683026672,0.7394118674252309,0.7210100677506878,0.6992264060041645
m125,0.9060521269403626,0.8952872091896449,0.9079311121247606,0.9109944432059837,0.8999571798289553,0.8921796734007282
m126,0.8431763240251464,0.8324807297902455,0.8424588782907557,0.8362122021476531,0.8302817640576304,0.8291146082208228
m127,0.9450505954864821,0.9428567574306993,0.9466415346359961,0.9476620139759925,0.944978633814761,0.9437072664862893
m128,0.41493835197512435,0.4289725508253066,0.4152093676094885,0.3959093010335583,0.43532584965098015,0.43529079536340226
m129,0.8957874713135096,0.889127144516939,0.8951347136377579,0.9055282678933864,0.8942690366419767,0.8928210296623064
m13,0.7139378813588265,0.7229904366043193,0.7244760452271519,0.7188307326732856,0.727589097516946,0.7146608020835253
m130,0.7852571999184569,0.7771017772919069,0.7881350977822031,0.7977138215870694,0.7864730284390107,0.7746000881926841
m131,0.8395944707363814,0.8280213742551111,0.8438137294747686,0.835588654679956,0.8247259801736605,0.7915261022914327
m132,0.6375500316437827,0.5925601968112728,0.6391591863865705,0.6617073215058196,0.6343557827882711,0.5846020738583021
m133,0.7441453530285321,0.7182818008919374,0.7554220232319991,0.7357220761934508,0.7284285337390197,0.7153969620651238
m134,0.8578793052546879,0.8399388243150688,0.8598344138730525,0.8382966345281472,0.8332889601737477,0.8295458815405446
m135,0.47848319215587326,0.41854153644091063,0.4408222339293993,0.5344754541552403,0.4735258444364478,0.4464914060881677
m136,0.40142715763588327,0.40867191133102043,0.4012531633900642,0.3846688742715425,0.40494142737340516,0.4199090314757657
m137,0.5087452695923091,0.5327616117033113,0.4837556278453825,0.49857462895809146,0.5504525219999131,0.6133135809298581
m138,0.27458297710122576,0.2727648023228766,0.301949580972343,0.31458682585343856,0.28010745004296705,0.24891525185141358
m139,0.8706665432382162,0.8716955441313008,0.8839579132561101,0.8906584420198418,0.8826866791742695,0.8336591769823815
