unique_id,SeasonalNaive,AutoMLP,AutoNHITS,AutoLSTM,AutoGRU,AutoDeepAR
ID0,0.0,1.0,1.0,1.0,1.0,1.0
ID1,0.0,1.0,1.0,1.0,1.0,1.0
ID10,0.0,1.0,1.0,1.0,1.0,1.0
ID100,0.08333333333333333,1.0,1.0,1.0,1.0,1.0
ID1000,0.08333333333333333,1.0,1.0,1.0,1.0,1.0
ID1001,0.16666666666666666,1.0,1.0,1.0,1.0,1.0
ID1002,0.16666666666666666,1.0,1.0,1.0,1.0,1.0
ID1003,0.0,0.9857685645029773,1.0,1.0,0.9876507081035607,1.0
ID1004,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
ID1005,0.16666666666666666,1.0,1.0,1.0,1.0,1.0
ID1006,0.0,1.0,1.0,1.0,1.0,1.0
ID1007,0.16666666666666666,1.0,1.0,1.0,1.0,1.0
ID1008,0.08333333333333333,1.0,1.0,1.0,1.0,1.0
ID1009,0.3333333333333333,0.9989651986069643,1.0,1.0,0.9931668195745679,0.9787401589114845
ID101,0.0,1.0,1.0,1.0,1.0,1.0
ID1010,0.16666666666666666,1.0,1.0,1.0,1.0,1.0
ID1011,0.0,1.0,1.0,1.0,1.0,1.0
ID1012,0.25,0.9948832946388043,0.9988030280361616,1.0,0.9867769463412709,0.998440005540445
ID1013,0.0,1.0,1.0,1.0,1.0,1.0
ID1014,0.0,1.0,1.0,1.0,1.0,1.0
ID1015,0.08333333333333333,1.0,1.0,1.0,1.0,1.0
ID1016,0.0,1.0,1.0,1.0,1.0,1.0
ID1017,0.16666666666666666,0.9933534181131702,1.0,0.9899846623115572,0.916798487580191,0.8535565996432166
ID1018,0.25,0.9997888154829013,1.0,0.9936428458761637,0.974294130629135,0.9604026892553251
ID1019,0.25,1.0,1.0,0.9943019138449792,0.9669677561882168,0.9592086535445868
ID102,0.0,1.0,1.0,1.0,1.0,1.0
ID1020,0.16666666666666666,0.9447455247990127,0.9309876152277746,1.0,0.9982658031964989,0.999999895691905
ID1021,0.08333333333333333,1.0,1.0,1.0,1.0,1.0
ID1022,0.08333333333333333,0.9985115873423935,1.0,1.0,0.9828405378522879,1.0
ID1023,0.08333333333333333,1.0,1.0,1.0,1.0,1.0
ID1024,0.08333333333333333,1.0,1.0,1.0,1.0,1.0
ID1025,0.0,1.0,1.0,1.0,1.0,1.0
