Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.47673993034811285,12.367847612510728
AutoMLP_90,0.46822953510022614,13.576712140884661
AutoNHITS_90,0.4666498905313262,12.696267709890375
AutoLSTM_90,0.4721235151173062,11.234477618210642
AutoGRU_90,0.4727643222532954,11.753091417320157
SeasonalNaive_95,0.4684700135055554,11.954752394434257
AutoMLP_95,0.46031598712243404,13.188726652114504
AutoNHITS_95,0.45810566615427106,12.223059215033436
AutoLSTM_95,0.46386631307584086,10.412898127182206
AutoGRU_95,0.4639952736861087,11.118104358144047
SeasonalNaive_99,0.46842692798467733,11.109641230232768
AutoMLP_99,0.4589234710789822,11.989791188914605
AutoNHITS_99,0.4579200990133858,10.876085155343661
AutoLSTM_99,0.46465361862720844,7.774085988476086
AutoGRU_99,0.46474928043513786,9.220545130177506
