unique_id,SeasonalNaive,AutoMLP,AutoNHITS,AutoLSTM,AutoGRU,AutoDeepAR
M1353,0.015316099121187669,0.018079173333582773,0.017502402412237678,0.03133608404920079,0.020342440573021602,0.03678876901368201
M1354,0.018118781544161494,0.005988513473214124,0.0053626522901067675,0.012150425000367266,0.009669425103024315,0.01918587446676441
M1355,0.032964034465370426,0.04867486857151965,0.04722088452440807,0.04034918306277312,0.035558421774398954,0.058183671200594776
M1356,0.01351867587589701,0.002300173322068853,0.002637528612397079,0.007242091677546154,0.0028530701701144656,0.012575257571551915
M1357,0.1050465200525988,0.1670192714236384,0.16001989907974626,0.11510125621677254,0.2060689728395574,0.11825653967663842
M1358,0.06891058618656463,0.10618415017605766,0.11251270280242831,0.060092198666627565,0.08892486574620162,0.10730016081962174
M1359,0.03341665498538155,0.0424564312659508,0.06375174787178342,0.02030499716227087,0.05027527738291479,0.05391373260898364
M136,0.12299894344482816,0.10317211853000165,0.11464650957570266,0.11473423469699827,0.10005470761498482,0.10967306928415256
M1360,0.05757652264400912,0.07064284925322752,0.08453708490363598,0.032762052099914375,0.05947160496871045,0.0950696050327357
M1361,0.019996828309690146,0.026302437574851355,0.031208226516872606,0.03309179284941463,0.02225278845396689,0.021939612775880486
M1362,0.08818681163932478,0.0935740686730423,0.09435780317013936,0.050581707636084806,0.07623054985302734,0.15131543001528278
M1363,0.07961194768428344,0.09575853669218726,0.11029441799844802,0.04134586479791002,0.07276315291216241,0.1514842881658084
M1364,0.06197937841512319,0.07535235178761225,0.08452640646769988,0.0330753825698738,0.05853652086380253,0.11340566055924207
M1365,0.11486319181117545,0.0637004049771102,0.05633678951162852,0.03374675964223201,0.04532336508912748,0.17330643157190317
M1366,0.08353695061850404,0.14635912821419425,0.1657045262821015,0.04626832955062604,0.06482444816968015,0.1855746904988573
M1367,0.28553863442205224,0.22394919471896643,0.16642065702195033,0.042187253437151594,0.04079921115094276,0.3324774811160575
M1368,0.20900370176600128,0.010940119645040177,0.009548026682692166,0.037862894810984433,0.068478738806477,0.14788102707901468
M1369,0.01385729552115301,0.012496840047467343,0.014721538423711988,0.06521255793439151,0.056624704772702206,0.018136230960655884
M137,0.09444895464374918,0.08072227128886995,0.07826584422375625,0.0836412638929024,0.07792920368247835,0.08711832897081301
M1370,0.01149458928467328,0.010565494913883861,0.014574306927853128,0.04716714005992017,0.03622526172062961,0.019071135998962607
M1371,0.020444094337551795,0.02578582039944063,0.042468618456264234,0.05677281644113107,0.0445958234294902,0.04303989573321213
M1372,0.004194381882990785,0.0018255822366064444,0.001863392499940373,0.005233754089739515,0.002163027563831087,0.004530040746336342
M1373,0.004864283452773804,0.002519526923257553,0.002396668674446934,0.005274762759722198,0.0023355176250820864,0.005352188753995824
M1374,0.01578503931225545,0.01299835083627529,0.013785011500416772,0.012202350352795792,0.023366867730205132,0.02468616961057841
M1375,0.009977155795757553,0.001309020029347763,0.0008126508354946911,0.0039073695853050665,0.001865524052773998,0.010470708397821814
M1376,0.0152876170088452,0.005494406213560962,0.005455226620709829,0.01538463838689337,0.002695663121381167,0.016779747944387826
M1377,0.15472255588976733,0.09104084120343188,0.10471247359250928,0.07847846882330976,0.08477626182462829,0.1263603211052733
M1378,0.11017486479384948,0.11034265350864336,0.10937699409692896,0.09884996305118525,0.09780141637190677,0.1078225851409873
M1379,0.13028752670217209,0.06708752463939799,0.07452237180189007,0.071143661184201,0.07099356304160548,0.0707110646226488
M138,0.07668597412709204,0.06271558251029165,0.062160060278705236,0.06632599449807065,0.06635515903256596,0.060208263200121855
M1380,0.2023821563389473,0.1292911161083341,0.13096655018229733,0.13867279497492527,0.1345979417752063,0.17341330969824345
M1381,0.1547296627424082,0.1548391496308719,0.14750322542176178,0.1681934423537879,0.17259879875907747,0.1806864718772454
M1382,0.12857220524830218,0.14803149040475927,0.13629455307891344,0.11967254509808438,0.11415634999901952,0.13325770285768812
M1383,0.09374503156279562,0.07477934829787766,0.09274066567484844,0.13792756093146916,0.07866941383963745,0.13616226193950595
M1384,0.12238611588314242,0.13711619898645802,0.10215040524420134,0.06623546683949473,0.11605114261566002,0.08518576190447076
M1385,0.1413890056602272,0.37191262370716344,0.3797176091322023,0.13536424596768373,0.12717905877792493,0.36742618155796775
M1386,0.06680028850314533,0.0680868456234897,0.054653319027633825,0.11768382076211446,0.0937048437385714,0.11041067372769432
M1387,0.15724061737959122,0.06129291549857902,0.06359830428443546,0.11079071159366265,0.07297083705049613,0.14788547735241775
M1388,0.08363730354360215,0.05628542653653753,0.05489800695957109,0.11832192412356386,0.06774262812144115,0.09743302949970567
