Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.47673993034811285,12.367847612510728
AutoMLP_90,0.4676711959941307,12.877385063858002
AutoNHITS_90,0.46606856727986223,13.539265735137628
AutoLSTM_90,0.4719040585266445,12.010860536334285
AutoGRU_90,0.4724790439572925,11.365845107469742
SeasonalNaive_95,0.4684700135055554,11.954752394434257
AutoMLP_95,0.4589727455117041,12.249834996867243
AutoNHITS_95,0.4584974659744492,13.104468387926042
AutoLSTM_95,0.46392095740222555,11.347604331801458
AutoGRU_95,0.46563275397737136,10.45436817053897
SeasonalNaive_99,0.46842692798467733,11.109641230232768
AutoMLP_99,0.45769368364151564,10.834351099212174
AutoNHITS_99,0.4577692254755642,11.911838341927544
AutoLSTM_99,0.46488738855872164,9.734858076541737
AutoGRU_99,0.4684605488287601,8.586360691585034
