Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.8166189742460929,0.5368684251778947
AutoMLP_90,0.7407793957081195,1.2095990994913735
AutoNHITS_90,0.8284909612780306,0.5328375096455037
AutoLSTM_90,0.8266868903910098,0.8771419283244449
AutoGRU_90,0.85040751144691,0.5176996576160252
SeasonalNaive_95,0.7797613623325608,0.5730559833123574
AutoMLP_95,0.71687398460843,1.3730829117984695
AutoNHITS_95,0.8148635707750527,0.5783139004123397
AutoLSTM_95,0.818318455147342,0.7702324830950247
AutoGRU_95,0.8443424503700293,0.5241574207713784
SeasonalNaive_99,0.7316107994641533,0.603857252985896
AutoMLP_99,0.6718047747769299,1.5993716859003062
AutoNHITS_99,0.7832181900820515,0.586044269129837
AutoLSTM_99,0.7851397626964572,0.6910864305989588
AutoGRU_99,0.8183519723464824,0.5369692391217609
