Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.8166103444204241,0.5368684248626995
AutoMLP_90,0.7290561857045188,1.2573643987668377
AutoNHITS_90,0.8265699504222346,0.5484245405439688
AutoLSTM_90,0.8459004683721263,0.4938371522433616
AutoGRU_90,0.8588319705886213,0.48243502315762343
AutoDeepAR_90,0.7705424982470668,0.6595396971586305
SeasonalNaive_95,0.7799022203846163,0.5730559817085954
AutoMLP_95,0.710467763872493,1.4432204225146794
AutoNHITS_95,0.8183446653332451,0.5621892741963764
AutoLSTM_95,0.8390138559308818,0.5124013413717557
AutoGRU_95,0.8496492319171558,0.503662973317488
AutoDeepAR_95,0.7573094162204714,0.7119968557842647
SeasonalNaive_99,0.731611875941918,0.6038572527347942
AutoMLP_99,0.6821083116044303,1.6266179117595374
AutoNHITS_99,0.7877660096165348,0.5952818531935843
AutoLSTM_99,0.8142267301389852,0.5437685415518553
AutoGRU_99,0.8198727962107982,0.5565655384482393
AutoDeepAR_99,0.7272202054876444,0.7869217171426853
