Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.8166103444204241,0.5368684248626995
AutoMLP_90,0.7178288991287083,1.2502287606406137
AutoNHITS_90,0.837034430380485,0.5614499320389111
AutoLSTM_90,0.8403404699464863,0.5434369211857247
AutoGRU_90,0.8247617103964617,0.6363704173628986
SeasonalNaive_95,0.7799022203846163,0.5730559817085954
AutoMLP_95,0.7189260743731671,1.3562110082811765
AutoNHITS_95,0.8239732593615927,0.5487140967895909
AutoLSTM_95,0.8337344996113891,0.5402955250999794
AutoGRU_95,0.8151297806323159,0.6431289963333661
SeasonalNaive_99,0.731611875941918,0.6038572527347942
AutoMLP_99,0.701292789991149,1.3537985107113295
AutoNHITS_99,0.763167356409827,0.5660196045675647
AutoLSTM_99,0.8095759873693276,0.5453744383027033
AutoGRU_99,0.7807262038609669,0.5915559391145818
