unique_id,SeasonalNaive,AutoMLP-median,AutoNHITS-median,AutoLSTM-median,AutoGRU-median
M1380,0.2023821563389473,0.12090051027426146,0.13665344354205136,0.13804716288377192,0.14866192547493812
M1381,0.1547296627424082,0.1613589400623082,0.1582575854375827,0.17566856516240537,0.16859815549476873
M1382,0.12857220524830218,0.1343538694665484,0.14428114925160457,0.12292759625732097,0.12055676546583381
M1383,0.09374503156279562,0.10319286912629975,0.09181051887313367,0.14665968369660837,0.07214188283936544
M1384,0.12238611588314242,0.07950938483933123,0.10667024374468437,0.07000514687886066,0.21217607944896186
M1385,0.1413890056602272,0.23504191838521082,0.2513418480923143,0.07253349093597362,0.29123569600247806
M1386,0.06680028850314533,0.04460531382931829,0.04417178704789997,0.11648590089668666,0.0951743685123122
M1387,0.15724061737959122,0.0785901997472315,0.07304764129430258,0.10069443879395024,0.07417025992690446
M1388,0.08363730354360215,0.058312633124884106,0.06106878421718273,0.07432761303758002,0.14768586014415877
M1389,0.08617464028712014,0.06382170147138032,0.055296971613213064,0.07693999032588156,0.05345782894552098
M139,0.05329628248882143,0.060923869889785216,0.05984659449475813,0.050080323176557195,0.05575828830608334
M1390,0.07960601088353252,0.05488312991201552,0.06844657239327616,0.060298618377863177,0.08378257363394202
M1391,0.05318777663905747,0.02568746256897568,0.04113236633714066,0.053464695820183365,0.16299488351185018
M1392,0.053224496155065,0.04537071765296019,0.044917613087926855,0.07629690936223985,0.09969859468311006
M1393,0.05574426814955257,0.05013006344615208,0.05739939843606759,0.09215961573231342,0.09224584327237423
M1394,0.07753353604923492,0.0722774279445584,0.07126969112103414,0.08766741489562306,0.0959731616626154
M1395,0.04793336834694321,0.06065096677360843,0.05743523301376859,0.08798617041480784,0.04302854527936504
M1396,0.034133707638232966,0.052739224330213906,0.04282087102001301,0.08937097135330008,0.09505890562954618
M1397,0.0464644876348202,0.0533473166132084,0.0819182419942162,0.048931906769837635,0.12079500021101791
M1398,0.04413112484794531,0.03785798973432374,0.037969895187428916,0.06082503037367858,0.06202074680806511
M1399,0.043313793342646185,0.0405780694102691,0.036819684141563926,0.05079746255455486,0.10457095344710239
M14,0.276797264079385,0.3200159719548932,0.2974063013410961,0.287317234719261,0.28233739828116483
M140,0.08970623331002447,0.047451138282544957,0.06108047085707374,0.06589230578376398,0.05693617534258056
M1400,0.060858577718299306,0.03988930317062242,0.039613223641532185,0.04115013076731948,0.03331849795274967
M1401,0.055865400352191126,0.030937092278237873,0.03227197706126006,0.024602725556651595,0.019872813187997985
M1402,0.013664259558822342,0.01499981030306717,0.01809483668019057,0.028153146892956837,0.032786980105659586
M1403,0.12432461585014552,0.035903714980508955,0.036231350982109105,0.03637430260400318,0.04991027607659399
M1404,0.04410751933567438,0.018928573517634856,0.01803293537575586,0.007950955174585796,0.030567422446383302
M1405,0.14695312657804235,0.10369365899662887,0.09765343641224816,0.07286320318859409,0.08617591302919876
M1406,0.06475738802965712,0.03357560521770863,0.03193809686086293,0.03311141218265943,0.02612669366611299
M1407,0.06266360320469923,0.012260578399838564,0.013957653571508228,0.031473958344640625,0.08199049095316534
M1408,0.030890849418646907,0.015311058249293854,0.014026076238997017,0.006083084241310458,0.010605641614867304
M1409,0.0456251866037827,0.04992337336444077,0.02535289667677998,0.03193783216971569,0.03284852369679498
M141,0.0635486499075054,0.07068103025589764,0.06510741547190785,0.06624546904083282,0.06387283774844489
M1410,0.07783232789506463,0.00565214078032484,0.007639300718828324,0.04003653027723032,0.026174517066171413
M1411,0.12083523694736092,0.04418496856624222,0.03543468854437897,0.01562602241046674,0.08428918404776552
M1412,0.04933972491199276,0.02628788272076325,0.0233588246233293,0.031339357830533106,0.05709711734939838
M1413,0.0695813466432187,0.01638844379548082,0.018351781782430823,0.018408628838749864,0.021153262554545083
M1414,0.059182106547896664,0.04704249922823745,0.04691031009122775,0.03444631882871064,0.025988877415623793
M1415,0.08311653119198562,0.03312666083030062,0.03261811416262703,0.014785464783741703,0.07119967133513698
M1416,0.02215692566131557,0.0021555243855100495,0.002518560201917743,0.00762702925474422,0.012876530205974443
M1417,0.07307724912052915,0.022282080944160777,0.019854331142400847,0.014195261034342281,0.0663866053423134
M1418,0.07235957795008681,0.04419534293062486,0.0377026137710364,0.07403215643153263,0.03535738717578147
M1419,0.08173290138174313,0.05329682875056785,0.05182650237192062,0.03974639171087468,0.03303398663748886
M142,0.12837852271049852,0.12865430642774855,0.12494106598444331,0.16018971971366686,0.13459416768495808
M1420,0.03594868103294469,0.007645560630953616,0.005215649496069334,0.01747843854876738,0.049552708819402665
M1421,0.11019208360866145,0.016686636363743384,0.009020994105690351,0.03861511021479357,0.07839532570037137
M1422,0.035559082850660846,0.004886380125080336,0.003918825087215428,0.005299132353955918,0.005383825999912768
M1423,0.007235710347279243,0.0026297833199153482,0.0032171524238555804,0.007278993664702911,0.012854650274728036
M1424,0.009051702669417362,0.00770669691057448,0.007736341374083119,0.006441961124390907,0.009341486612019662
M1425,0.06402846338338024,0.013374944410177676,0.006167321253627983,0.02707039977762363,0.06235081782398521
M1426,0.07494500977135143,0.051388987991383195,0.05167335091652522,0.03665083401534841,0.031168203136741332
M1427,0.018076257827719808,0.01593110942712142,0.014848772709902217,0.01612581172714637,0.011262063323869064
M1428,0.06804584746603654,0.018014938525854642,0.014087682576213458,0.012032381674458208,0.039769259873172404
M143,0.08970252891091111,0.09535484292515789,0.07704419371872341,0.09708307172785442,0.08268132700564333
M144,0.07012590756680238,0.06949410476532136,0.05307554910889828,0.06887594720579952,0.06043449333396742
M145,0.0996371688669036,0.08569560903867374,0.08804897340994668,0.09997201835752544,0.09174553546873478
M146,0.1163425334321399,0.10972298978464427,0.09580429539811802,0.13246927368181635,0.11330726996937879
M147,0.08678943809922456,0.07322020587434998,0.07059722161528365,0.09446176624482792,0.07839091325940782
M148,0.0980402463838624,0.08411936800491494,0.0789056723476088,0.09472837204042178,0.07793013651108556
M149,0.09050592403630758,0.10164220919683276,0.10170688937134832,0.08847803527142639,0.07654193292384971
M15,0.2725780988406419,0.3439746611986519,0.35592324117992535,0.2491578710643048,0.23610767336388228
M150,0.06494969542719593,0.02485495406408904,0.024156494061952,0.034733715430280775,0.03321209996874297
M151,0.12919030037195797,0.0995530641002408,0.11046981651142075,0.10851349209186743,0.10234959076566064
M152,0.05020383487807687,0.04732449311789665,0.04777800066072276,0.08617732010812414,0.05684266304016863
M153,0.056944326330457005,0.06136039245422418,0.06852588144655615,0.09996967709705566,0.09810347769871973
M154,0.10833977216715518,0.038354548484212096,0.056718715764583004,0.06501611988580931,0.09559269545981676
M155,0.06624275774164119,0.03677704083229191,0.03095474516130167,0.03470207771628464,0.031571704777893596
M156,0.057895579710206334,0.03619522331387193,0.03645042801422811,0.04303273492917353,0.040140559865917906
M157,0.045442147908163845,0.03183502966427939,0.025444255400603636,0.04286307299211397,0.03410131825560612
M158,0.05232140300899645,0.03673343745960255,0.03324553755424882,0.0414044151054627,0.0403007594722461
M159,0.07504670299823817,0.0378215288446573,0.052193122706847256,0.04993635795959931,0.05571243311165123
M16,0.33070245739959,0.251096280136543,0.25492016384183275,0.2133572563366323,0.19564460844154977
M160,0.10267805522516443,0.07260974415634032,0.07144895673051589,0.05653522141826797,0.06448793651815567
M161,0.06064383193485331,0.03965945003106811,0.0422450910870855,0.042725281470777976,0.043549700877331315
M162,0.06135709318530939,0.04842106407800218,0.04327196874599431,0.05707625290926568,0.05185283151153714
M163,0.07726070183241389,0.06000536700370984,0.05083360997024778,0.06531954655267645,0.06285903833856996
M164,0.06312881780532566,0.03634608088926084,0.03390211321786211,0.04472088710507424,0.05335471366060315
M165,0.0872222485625438,0.057607566682308396,0.05464241690363945,0.0557660334106955,0.05406802070321279
M166,0.08891950850320024,0.04652071246422657,0.04738083951317446,0.05357545721026291,0.05890608634693486
M167,0.09079288434934625,0.07144376187383811,0.07829085703569105,0.08216058927971472,0.08236513924050752
M168,0.08285971128746393,0.10414774999970237,0.09320140429629076,0.08558412921670165,0.0795528488605203
M169,0.06365840413907116,0.04499416644257923,0.038772330445354636,0.03854352666684786,0.041222677308626936
M17,0.22279175104059024,0.17290314447243396,0.19941511294123435,0.2018348517621583,0.20210967295814905
M170,0.06432379848574958,0.04231482656264474,0.040853194238045405,0.04434388107137157,0.043163028682865416
M171,0.03335928703435162,0.03102422244496872,0.02987267512076266,0.03072682649102437,0.034767664279558734
M172,0.0587452320699689,0.03971055163882354,0.03482969236739222,0.039058757267537186,0.03772457013285662
M173,0.13504298981087146,0.10985413844171608,0.09667015021660617,0.10679234661264726,0.09395311079021627
M174,0.08520595169564095,0.09014938716295506,0.0904341856874868,0.09232674178714236,0.0930037428313875
M175,0.07474326845147183,0.06476052373965577,0.06845765213361092,0.06821547567505895,0.0723707573709505
M176,0.0486826608042597,0.06435205165492278,0.05138089045408153,0.07542460300984684,0.06523488657175819
M177,0.07952741269576226,0.08155809793136,0.06927932999743906,0.07176944727840719,0.06744142708399227
M178,0.15344554276555597,0.11455705145042124,0.08430808237653542,0.19236415943159554,0.14744181652558644
M179,0.19119282267817275,0.18679512034758258,0.1733796647963992,0.19800509371375394,0.18875712962149913
M18,0.186135454821411,0.15411501189728435,0.13057929585707437,0.13677614475984654,0.13951406871683641
M180,0.17665024802892934,0.18702826752257828,0.18140655105096762,0.22130703308503252,0.19847462259425633
M181,0.1189788263477665,0.12683718243580386,0.12351076909164212,0.14548278895707903,0.12750290119267074
M182,0.1647061080446973,0.14970605651948385,0.14025301601198717,0.16870953189025184,0.15000163024014293
M183,0.2628647515553306,0.1990248318414267,0.17535989478322947,0.28156960745426846,0.23511122165289824
M184,0.243846753693113,0.2635718105280457,0.26606527173708294,0.28959231438232763,0.27825936947335556
M185,0.27365126546741164,0.2990119164644876,0.2687102223162315,0.30292777040444924,0.2905608929099925
M186,0.25903508466263164,0.275362239819295,0.23707218697013718,0.325728297654097,0.2876163220761237
M187,0.2536458902589058,0.2198050564087949,0.1881680495825591,0.23263998150264528,0.20923373994581637
M188,0.20791713197110648,0.18957300096520088,0.15901654670455906,0.24340113080965742,0.21743230598134736
M189,0.12553537222299646,0.10387705484847008,0.0911052681151606,0.12005417983834261,0.11261551966547824
M19,0.21267018802321833,0.16863678606853616,0.1560122851460635,0.12385130687974233,0.11708183695478651
M190,0.046475463610649075,0.04556908111423127,0.04429187466914139,0.038184557691240024,0.0352133667725289
M191,0.03765970340618014,0.04523384546882561,0.046448643740998226,0.049144118680688874,0.050419564099500026
M192,0.034919686806734095,0.03339850919205584,0.03993418396188692,0.040137209073200966,0.042075254358121955
M193,0.031835793308249066,0.03855902991711358,0.04034093092635937,0.044991999098253986,0.04478802381306735
M194,0.037901061743247005,0.045714026217093334,0.033751571798182306,0.04809655190461528,0.04379776810853624
M195,0.04360010606465589,0.03701623553316673,0.035219327322056855,0.03658969920807934,0.03685555121057116
M196,0.05527384816231332,0.03931268022963229,0.048360628289708496,0.04479190945398596,0.04666267648343928
M197,0.056617620238368804,0.0582141226168208,0.05481085586679055,0.060977577987487874,0.055514412494560274
M198,0.14335054307191694,0.09987020234521099,0.11313050915993383,0.09319994763362216,0.08573705481112208
M199,0.09979718444446523,0.11490356038673183,0.1022201799835822,0.13959123017629302,0.11725398144008263
M2,0.18890283868091018,0.13953962355538016,0.16349984244342186,0.14295890691688418,0.13998453398472976
M20,0.14806069743265174,0.1182332972585896,0.11551890212618872,0.12229794362722828,0.09894757964640254
M200,0.1924961141629072,0.19696853066799802,0.14502967117378593,0.20149449814238848,0.17754141487999964
M201,0.1828654875425845,0.17979330327566648,0.1304451075150789,0.1715266115384272,0.15508377339028884
M202,0.26292812165488627,0.28429699245171514,0.2543609213348635,0.3000120184145079,0.2685924355029911
M203,0.19244998150966655,0.29630145521166845,0.1791614738801132,0.2777706892156541,0.23914351923053978
M204,0.25078521440996987,0.21801138706930123,0.16601052421451876,0.2097722766651445,0.18762329712430745
M205,0.22497887358244875,0.2249728806794493,0.13127265829910112,0.2582436318573185,0.18727524798038334
M206,0.18407926484651357,0.17023101048885472,0.15299632850042919,0.16448279673126837,0.13888654239690487
