Model_Percentile,AUC,LogLoss
AutoMLP_90,0.4744476245542144,5.323066663517184
AutoNHITS_90,0.47286229121843765,5.321083814525377
AutoLSTM_90,0.4765510174722266,5.276090268882133
AutoGRU_90,0.47745343152526765,5.254202664252574
AutoMLP_95,0.46193068493300393,4.665084496978242
AutoNHITS_95,0.4603900512017338,4.660889662410038
AutoLSTM_95,0.4645407501657194,4.629697058531627
AutoGRU_95,0.4651317916067156,4.6209388084844125
AutoMLP_99,0.45831766549466507,3.55561240629197
AutoNHITS_99,0.4563940804200084,3.547595853955661
AutoLSTM_99,0.46041623655625896,3.535885480593411
AutoGRU_99,0.4612888550579145,3.5367654666591313
