Model_Percentile,AUC,LogLoss
SeasonalNaive_90,1.0,2.2204460492503136e-16
AutoMLP_90,0.8852242462980718,0.29711019841877495
AutoNHITS_90,0.8994612110428998,0.2995000473242742
AutoLSTM_90,0.8902063666963996,0.2862195602123427
AutoGRU_90,0.9020016567847883,0.26569015589456424
SeasonalNaive_95,1.0,2.2204460492503136e-16
AutoMLP_95,0.8557044674594985,0.22521786197703425
AutoNHITS_95,0.883622352449752,0.2780991518844194
AutoLSTM_95,0.8720573390174784,0.2219259053867471
AutoGRU_95,0.8809825830917162,0.20466115248736258
SeasonalNaive_99,1.0,2.2204460492503136e-16
AutoMLP_99,0.8194403452993185,0.10808141357178547
AutoNHITS_99,0.834267093962962,0.398053966329569
AutoLSTM_99,0.8354066387150711,0.16371365511631147
AutoGRU_99,0.8137309046690143,0.13853759072078342
