unique_id,SeasonalNaive,AutoMLP-median,AutoNHITS-median,AutoLSTM-median,AutoGRU-median
M1011,0.04148683436060386,0.0255233584474466,0.024512963038179774,0.04053860195971088,0.027565086804283195
M1012,0.011223783900112352,0.006870111211766991,0.007510476737063044,0.017263854654614167,0.017899627169714927
M1013,0.026439395844690582,0.009352575792069162,0.009980069765911408,0.012544937034179374,0.009195318983890874
M1014,0.04000550528977561,0.015179496684811562,0.014860251055016122,0.01778556296996976,0.015018100551819569
M1015,0.02337676701150263,0.04185102552265668,0.047356220613754184,0.057450877425549496,0.06768370645186243
M1016,0.04542991669985641,0.08024133209822602,0.06539076812909111,0.045161191486421316,0.08675599936403856
M1017,0.033383525753642306,0.032274037328657516,0.03528579514795351,0.051181448134137164,0.07270445259624905
M1018,0.024261100604742427,0.006979664794909635,0.007676537810330873,0.00921785687678379,0.006925271082828275
M1019,0.07274178061590485,0.016000539159593957,0.021104463438443397,0.01940485837864621,0.016919387215937783
M102,0.047731813403519376,0.03585772533766016,0.033959038323664315,0.046297278731171516,0.051132818130294445
M1020,0.06109755895120395,0.03744227865507286,0.0419942029773768,0.03719494660173,0.027449236423336913
M1021,0.042100994384733366,0.0405045715566753,0.030328014390149444,0.046037786530804266,0.03067845915626811
M1022,0.1673085253660835,0.14721209457709553,0.13779239276428,0.13628482493962787,0.18272154977085278
M1023,0.01180126435414349,0.0037543334823168877,0.007375261755762602,0.008062406252794094,0.008608512614640202
M1024,0.008130055365936667,0.006232739654697451,0.006188160988369944,0.011998640965726339,0.009048169397590773
M1025,0.013707768495615688,0.005853290739236467,0.009446159033809163,0.009861221125418136,0.011420995677134713
M1026,0.04363394921466115,0.011560179901485312,0.01702097459463246,0.016812084835393776,0.009398129651845517
M1027,0.012782889125186964,0.003770889176170021,0.004171301580066478,0.004036771567043798,0.007551309127566244
M1028,0.05296936096354382,0.03884517463377391,0.03774009687309345,0.02746626488819574,0.022752260099905965
M1029,0.07900182534926017,0.03561052392299941,0.029277933461921115,0.038096295267144094,0.026393704291408887
M103,0.09044008758885504,0.057238879661884595,0.0506612313316872,0.04566763657077625,0.050419296233271536
M1030,0.03219030513295451,0.01953343366287338,0.029272114962369467,0.01868670923894432,0.021960506281126196
M1031,0.020213577294665608,0.010082710150988114,0.009942436177428852,0.015031146699280492,0.01055439803013483
M1032,0.03138573623804412,0.007899311831461059,0.007407412807330726,0.011296406466428524,0.009895486335027626
M1033,0.0341771746049965,0.02282306063724518,0.02335281268182929,0.03871696214665695,0.019462930747287784
M1034,0.051854396696689446,0.052301624170172444,0.0532887497039338,0.04555843047170114,0.03243758826397641
M1035,0.09306912227985333,0.06810136490517009,0.07301863495391127,0.1078796936728001,0.10974395205802277
M1036,0.016838025108463574,0.02013019261405097,0.01861143734705038,0.014509977594472713,0.0182928680059219
