unique_id,SeasonalNaive,AutoMLP,AutoNHITS,AutoLSTM,AutoGRU,AutoDeepAR
M398,0.17597269221166398,0.140748699626546,0.13305265349247178,0.11716547264008835,0.1694373647020102,0.12112046293747979
M399,0.18611810909388546,0.15378895480977225,0.11094389403110623,0.1520456491280743,0.22639291195076705,0.1609957990799762
M4,0.24286395034390126,0.15694185983950368,0.13116730815002872,0.15060436047527595,0.16711696872247203,0.23392868708876824
M40,0.18011176824290773,0.1664400446583865,0.17230422814504764,0.17219458950205133,0.16201290587205644,0.1838601591979875
M400,0.16198599931281418,0.11903702115106468,0.09843830322213858,0.10677957743276549,0.18296346122308826,0.10599469984314742
M401,0.20885293745597988,0.13742301495226045,0.11089906903734155,0.14876842748940586,0.21966788665052617,0.10435199793186456
M402,0.20693822028406086,0.1993938764926241,0.1785262834581091,0.19352083226139782,0.24815763412122663,0.22297733123107852
M403,0.07928649675108547,0.09298903351987091,0.0633725224349664,0.07252603861303579,0.08668850277498201,0.0677195486999744
M404,0.10247719592493161,0.08558843455061316,0.09156578805933231,0.11905372161627249,0.10531130754272196,0.09483608555537287
M405,0.18010418604342474,0.15128177094114967,0.13878175914223592,0.16422843501648196,0.232899448824346,0.19075628493110242
M406,0.05464853736776073,0.050471957230733826,0.0470526237074502,0.04522255393903124,0.05831684492615513,0.045320578583493344
M407,0.015401429258983398,0.0089460472277963,0.009088884860405834,0.00764727162108568,0.010085421249178413,0.007885869222433027
M408,0.04203247764176265,0.03540327474478708,0.03580197003368419,0.03617575533616405,0.032957553505746556,0.0358260396080725
M409,0.033009639887844104,0.03758970879757445,0.03191110387111036,0.032865476834014536,0.041120228668296684,0.032268972846513755
M41,0.09040654766700988,0.08242850096980744,0.10094204672108677,0.09233631972244576,0.09334509286479685,0.09589549823616761
M410,0.016895962383164074,0.013242947454649703,0.012894079488243703,0.013549007517839835,0.01594448610551665,0.01314090746947944
M411,0.0626189592232306,0.0642600417061469,0.06951659986838286,0.07380761769943923,0.09073849899319449,0.09301780346123457
M412,0.05372418522962303,0.06204889419232266,0.05937404230805449,0.05904139883158871,0.0565717531687347,0.05087042683203099
M413,0.02864461555626216,0.02197102530907506,0.02094929027932095,0.03998923341526585,0.040582517486895994,0.025489836697355033
M414,0.03521493486491012,0.03246653020971608,0.026553122853853847,0.023942955271886102,0.022770598312778525,0.031152676607054036
M415,0.047191472841874964,0.036858574711188176,0.036213401605179836,0.037203572731873934,0.039946181895909615,0.03519126683198243
M416,0.08585097846390333,0.05519806748169856,0.04983749283352542,0.04300010521456607,0.05354449106433621,0.044836471936687654
M417,0.029377372370532923,0.033934413984488355,0.03741814385354384,0.035844589850140704,0.02985417516808918,0.02741425951658476
M418,0.016891093668697114,0.010279447333373819,0.010905595609294947,0.009660268212612668,0.012668566376056659,0.008740063354299034
M419,0.14706702341921296,0.13877599347512445,0.16129430393782185,0.11404693783917923,0.15032176221119325,0.19605828089857538
M42,0.19621553058082597,0.13588326656509292,0.11688967841113429,0.14354253323707308,0.15366660281757805,0.13806122522323924
M420,0.033467557928598644,0.026409854962755375,0.025651401779762384,0.020677320339203296,0.030745720868981866,0.02313996691527405
