Model_Percentile,AUC,LogLoss
AutoMLP_90,0.9275489651897028,0.5516358027390257
AutoNHITS_90,0.9282601996105369,0.5507934374834781
AutoLSTM_90,0.9218949818671008,0.5539919682020051
AutoGRU_90,0.92127999990702,0.5552858852542487
AutoMLP_95,0.932064286789433,0.5294264779811036
AutoNHITS_95,0.9313698716730475,0.5285489001114012
AutoLSTM_95,0.9231554658748632,0.5294142640034699
AutoGRU_95,0.9258390171111628,0.5321756677144144
AutoMLP_99,0.9314996134050121,0.48896207526136404
AutoNHITS_99,0.9324011232897813,0.48820162947154416
AutoLSTM_99,0.9252863689734558,0.485709561408157
AutoGRU_99,0.9279247827726492,0.4903363294285757
