Model_Percentile,AUC,LogLoss
AutoMLP_90,0.520569598487846,1.2644685426444942
AutoNHITS_90,0.5198348832749526,1.2651621591133915
AutoLSTM_90,0.5189808172978502,1.2373009639061985
AutoGRU_90,0.5186033452198603,1.2071708860547343
AutoMLP_95,0.5637848935971003,0.8623325151982774
AutoNHITS_95,0.5629246753073044,0.8624852277422668
AutoLSTM_95,0.5606968018939851,0.8459436672969641
AutoGRU_95,0.5589504500889477,0.8217600112438059
AutoMLP_99,0.6358674095183465,0.7000913875714292
AutoNHITS_99,0.6376309703245806,0.7015938107232025
AutoLSTM_99,0.6362365978532155,0.6872860816699092
AutoGRU_99,0.6296674864071566,0.6629544946093431
