Model_Percentile,AUC,LogLoss
SeasonalNaive_90,0.4749842470069313,14.74511264562362
AutoMLP_90,0.48550061353762475,14.974934119332346
AutoNHITS_90,0.48330182734719596,15.394305037674455
AutoLSTM_90,0.4938579909130103,14.423112153541148
AutoGRU_90,0.49222962889264743,13.711634991857563
SeasonalNaive_95,0.4821582300275482,14.189636469484157
AutoMLP_95,0.4862105224321133,14.577713318773505
AutoNHITS_95,0.48704065820543097,14.835755696222959
AutoLSTM_95,0.49579397874852416,13.964366446177332
AutoGRU_95,0.49749421979535613,12.744122252492458
SeasonalNaive_99,0.4683673345917429,14.139421047359356
AutoMLP_99,0.47625054450413823,13.678788159364702
AutoNHITS_99,0.47524321184841,14.155072978690704
AutoLSTM_99,0.47933304293112633,13.296517185285897
AutoGRU_99,0.4748015584918445,11.43493726932927
