Model_Percentile,AUC,LogLoss
AutoMLP_90,0.49849673092523306,5.691226611834559
AutoNHITS_90,0.49860018594870753,5.769237068134068
AutoLSTM_90,0.49862763532177,5.903693860516888
AutoGRU_90,0.4967967413435179,5.893299369975184
AutoMLP_95,0.4742894887251842,4.773586429494517
AutoNHITS_95,0.4756528181725032,4.815253969179616
AutoLSTM_95,0.4748567465102898,4.90383733125102
AutoGRU_95,0.474588403722262,4.923424156924934
AutoMLP_99,0.48901906811237794,2.527629223980488
AutoNHITS_99,0.4906920690811536,2.5507643008445258
AutoLSTM_99,0.49092098889634106,2.549027581124418
AutoGRU_99,0.489780115880468,2.608010404493151
